userID	endDate	COALESCE(feature82,0)	COALESCE(feature98,0)
11600	2012-12-10	1	1
11600	2012-12-12	1	1
11600	2012-12-13	9	1
11600	2012-12-14	4	1
11600	2012-12-17	22	1
11600	2012-12-19	1	1
12000	2012-12-03	1	1
12000	2012-12-05	33	1
12000	2012-12-06	6	1
12000	2012-12-10	1	1
12000	2012-12-11	1	1
12000	2012-12-12	2	1
12000	2012-12-13	26	1
12000	2012-12-14	3	1
12000	2012-12-15	48	1
12000	2012-12-16	1	1
12000	2012-12-17	2	1
12000	2012-12-19	1	1
12000	2012-12-20	42	1
12000	2012-12-21	1	1
12100	2012-12-03	5	1
12100	2012-12-04	30	1
12100	2012-12-05	35	1
12100	2012-12-06	23	1
12100	2012-12-10	60	1
12100	2012-12-11	15	1
12100	2012-12-12	18	1
12100	2012-12-13	44	1
12100	2012-12-14	12	1
12100	2012-12-17	3	1
12100	2012-12-18	4	1
12100	2012-12-19	11	1
12100	2012-12-20	9	1
12400	2012-12-03	1	1
12400	2012-12-04	28	1
12400	2012-12-05	11	2
12400	2012-12-06	36	1
12400	2012-12-07	3	1
12400	2012-12-09	3	1
12400	2012-12-10	12	1
12400	2012-12-11	71	1
12400	2012-12-14	4	1
12600	2012-12-03	4	1
12600	2012-12-04	9	1
12600	2012-12-05	1	1
12600	2012-12-06	17	1
12600	2012-12-11	10	1
12600	2012-12-12	19	1
12600	2012-12-13	3	1
12600	2012-12-14	33	1
12600	2012-12-17	21	1
12600	2012-12-18	28	1
12600	2012-12-19	40	1
12800	2012-12-01	69	1
12800	2012-12-05	11	1
12800	2012-12-10	17	1
12800	2012-12-15	14	1
12900	2012-12-04	9	1
12900	2012-12-10	11	1
13000	2012-12-10	7	1
13000	2012-12-13	12	1
13400	2012-12-04	7	1
13400	2012-12-05	12	1
13400	2012-12-11	6	1
13400	2012-12-12	3	1
13400	2012-12-18	27	1
13400	2012-12-19	2	1
13600	2012-12-08	91	1
13600	2012-12-10	21	1
13700	2012-12-02	2	1
13700	2012-12-03	25	1
13700	2012-12-04	81	1
13700	2012-12-07	1	1
13700	2012-12-09	15	1
13700	2012-12-10	23	1
13700	2012-12-11	12	1
13700	2012-12-12	19	1
13700	2012-12-16	2	1
13700	2012-12-17	11	1
13700	2012-12-18	19	1
13700	2012-12-19	8	1
13900	2012-12-03	3	1
13900	2012-12-04	11	1
13900	2012-12-05	19	1
13900	2012-12-10	545	1
13900	2012-12-11	9	1
13900	2012-12-12	6	1
13900	2012-12-17	12	1
13900	2012-12-18	80	1
13900	2012-12-22	1	1
14000	2012-12-03	14	1
14000	2012-12-07	1	1
14000	2012-12-10	4	1
14000	2012-12-17	22	1
14000	2012-12-26	24	1
14000	2012-12-29	14	1
14000	2012-12-30	15	1
14400	2012-12-03	6	1
14400	2012-12-13	3	1
14500	2012-12-04	18	1
14500	2012-12-05	7	1
14500	2012-12-06	14	1
14500	2012-12-10	18	1
14500	2012-12-12	3	1
