userID	endDate	COALESCE(feature84,0)	COALESCE(feature88,0)
11100	2012-12-13	0	0
11100	2012-12-14	0	0
11100	2012-12-17	0	0
11100	2012-12-18	0	0
11100	2012-12-19	0	0
11200	2012-12-07	1	1
11300	2012-12-03	0	0
11300	2012-12-04	0	0
11300	2012-12-05	0	0
11300	2012-12-06	0	0
11300	2012-12-07	0	0
11300	2012-12-11	0	0
11300	2012-12-12	0	0
11300	2012-12-13	0	0
11300	2012-12-17	0	0
11300	2012-12-18	0	0
11400	2012-12-11	0	0
11400	2012-12-13	0	0
11400	2012-12-14	0	0
11400	2012-12-21	0	0
11500	2012-12-18	0	0
11500	2012-12-20	0	0
11600	2012-12-03	0	0
11600	2012-12-06	0	0
11600	2012-12-07	0	0
11600	2012-12-10	0	0
11600	2012-12-12	0	0
11600	2012-12-13	0	0
11600	2012-12-14	0	0
11600	2012-12-17	0	0
11600	2012-12-19	0	0
12000	2012-12-03	0	0
12000	2012-12-05	0	0
12000	2012-12-06	0	0
12000	2012-12-10	0	0
12000	2012-12-11	0	0
12000	2012-12-12	0	0
12000	2012-12-13	0	0
12000	2012-12-14	0	0
12000	2012-12-15	0	0
12000	2012-12-16	0	0
12000	2012-12-17	0	0
12000	2012-12-19	0	0
12000	2012-12-20	0	0
12000	2012-12-21	0	0
12100	2012-12-03	0	0
12100	2012-12-04	0	0
12100	2012-12-05	0	0
12100	2012-12-06	0	0
12100	2012-12-10	0	0
12100	2012-12-11	0	0
12100	2012-12-12	0	0
12100	2012-12-13	0	0
12100	2012-12-14	0	0
12100	2012-12-17	0	0
12100	2012-12-18	0	0
12100	2012-12-19	0	0
12100	2012-12-20	0	0
12400	2012-12-03	0	0
12400	2012-12-04	0	0
12400	2012-12-05	7	2
12400	2012-12-06	0	0
12400	2012-12-07	0	0
12400	2012-12-09	0	0
12400	2012-12-10	0	0
12400	2012-12-11	0	0
12400	2012-12-14	0	0
12600	2012-12-03	0	0
12600	2012-12-04	0	0
12600	2012-12-05	0	0
12600	2012-12-06	0	0
12600	2012-12-11	0	0
12600	2012-12-12	0	0
12600	2012-12-13	0	0
12600	2012-12-14	0	0
12600	2012-12-17	0	0
12600	2012-12-18	0	0
12600	2012-12-19	0	0
12800	2012-12-01	0	0
12800	2012-12-05	0	0
12800	2012-12-10	0	0
12800	2012-12-15	0	0
12900	2012-12-04	0	0
12900	2012-12-10	0	0
13000	2012-12-10	7	1
13000	2012-12-13	0	0
13400	2012-12-04	0	0
13400	2012-12-05	0	0
13400	2012-12-11	0	0
13400	2012-12-12	0	0
13400	2012-12-18	0	0
13400	2012-12-19	0	0
13600	2012-12-08	0	0
13600	2012-12-10	0	0
13700	2012-12-02	0	0
13700	2012-12-03	0	0
13700	2012-12-04	80	2
13700	2012-12-07	0	0
13700	2012-12-09	0	0
13700	2012-12-10	0	0
13700	2012-12-11	0	0
13700	2012-12-12	0	0
13700	2012-12-16	0	0
13700	2012-12-17	0	0
13700	2012-12-18	0	0
13700	2012-12-19	0	0
13900	2012-12-03	0	0
13900	2012-12-04	0	0
13900	2012-12-05	0	0
13900	2012-12-10	0	0
13900	2012-12-11	0	0
13900	2012-12-12	0	0
13900	2012-12-17	0	0
13900	2012-12-18	80	2
13900	2012-12-22	0	0
14000	2012-12-03	0	0
14000	2012-12-07	0	0
14000	2012-12-10	0	0
14000	2012-12-17	0	0
14000	2012-12-26	0	0
14000	2012-12-29	0	0
14000	2012-12-30	0	0
14400	2012-12-03	5	1
14400	2012-12-13	0	0
14500	2012-12-04	0	0
14500	2012-12-05	0	0
14500	2012-12-06	0	0
14500	2012-12-10	0	0
14500	2012-12-12	0	0
